RA,JC,AA,PA,PPS,SPS,Label
0.000137533,0.000604595,0.112465077,53526,0.011283778,0.004345157,1
0,0,0,1155,0,0,1
4.47E-05,0.00877193,0.342802586,16419,0.065372045,0.031403715,1
0,0,0,652,0,0,1
0.00058651,0.007042254,0.134384753,1080,0,0.030656967,1
0,0,0,10095,0,0,1
3.36E-05,0.001035733,0.18171459,13482,0.063660701,0.017314882,1
0,0,0,244,0,0,1
0.018203049,0.030674847,0.775154232,1872,0.187317162,0.073455316,1
0.041559853,0.023584906,2.422214391,59940,0.048567873,0.056020464,1
0.007745472,0.019499632,5.232361361,884304,0.202606288,0.047184234,1
0.008423469,0.047619048,0.353647766,340,0.138013112,0.153392998,1
6.84E-05,0.004189944,0.27896625,16680,0.055048188,0.02334648,1
0.012550356,0.03906837,5.84518521,470340,0.152413289,0.054223202,1
0,0,0,64,0,0,1
0,0,0,23,0,0,1
0.010775444,0.00660066,0.340110709,15066,0.016563466,0.016846623,1
0.111428464,0.027112232,6.079084671,518630,0.049920191,0.033691246,1
0,0,0,600,0,0,1
0,0,0,220,0,0,1
0.001400569,0.014723926,3.449517183,487190,0.219352404,0.04612153,1
0.036175129,0.012362637,1.615567024,44286,0.057091614,0.03602318,1
0.004138921,0.002351097,0.397304572,113568,0.021650635,0.006003651,1
0,0,0,898,0,0,1
0.004375604,0.02173913,0.675080625,11644,0.054153036,0.030215296,1
1.31E-06,0.001964637,0.073830359,8856,0.041666667,0,1
0.009125221,0.009516096,5.455045128,382824,0.292653912,0.055052518,1
0,0,0,815,0,0,1
0.005476299,0.003244288,4.828183879,1213800,0.213486446,0.042670675,1
0.006024096,0.017241379,0.195618621,114,0.166666667,0.093658581,1
0.083739764,0.014005602,5.213327841,464665,0.112390297,0.05557366,1
0.246351316,0.054151625,3.575581387,4675,0.2,0.164316767,1
0.095528992,0.058365759,2.755308232,5500,0.351994735,0.204731659,1
0,0,0,112,0,0,1
0.000512395,0.002244669,0.382010294,28320,0.027907279,0.023966279,1
0.004954814,0.006711409,0.536453249,6479,0.085470432,0.054044186,1
0.193573592,0.004741065,2.314538971,1349166,0.069189841,0.01747586,1
1.451599641,0.25188993,122.7082056,4022756,0.470526351,0.136502503,1
0.057858941,0.003325795,3.571106684,307541,0.1021919,0.073844567,1
0.007355177,0.022624434,0.762349937,8008,0.099449032,0.05587377,1
0.016393443,0.010309278,0.243257281,801,0.166666667,0.125988158,1
0,0,0,3008,0,0,1
0.184749207,0.30952381,3.001364905,700,0.490290338,0.404929144,1
0.020672442,0.001190004,0.473378824,230755,0.027621043,0.003788939,1
0,0,0,9692,0,0,1
0,0,0,838,0,0,1
0.554276379,0.019594595,6.738499726,493920,0.025717225,0.014987266,1
0,0,0,35,0,0,1
0.001568185,0.025641026,0.355924496,684,0.33968311,0.077151675,1
0.001444355,0.004413063,0.577961877,47085,0.00955637,0.024195279,1
0.364287716,0.085714286,21.5269046,762651,0.248085679,0.075076593,1
0,0,0,345,0,0,1
0.069124023,0.10738255,2.849358742,6804,0.200821359,0.185185185,1
0.000320045,0.001745201,0.304524981,91685,0.026572355,0.006691995,1
5.26E-05,0.000636537,0.101493727,7835,0.036273813,0.011370245,1
0.04890858,0.125,1.213813419,368,0.39223227,0.335410197,1
0.522452759,0.192982456,9.278011014,14652,0.420909433,0.203771903,1
0.000151263,0.001647446,0.113681704,2416,0.056980288,0.020498002,1
