RA,JC,AA,PA,PPS,SPS,Label
0.005520266,0.042553191,0.286796868,180,0.25819889,0.088388348,1
0.004546396,0.007594937,0.412401957,38701,0.017200523,0.015350541,1
0.020299489,0.008571429,1.602344002,149155,0.049693467,0.012260252,1
0,0,0,4784,0,0,1
1.208471117,0.000582032,11.43853784,13915044,0.043204887,0.017075456,1
0,0,0,5598,0,0,1
0.003801793,0.002382844,0.437968923,66385,0.011315519,0.007854015,1
0.002833033,0.008665511,2.854673719,172100,0.242535625,0.069976082,1
0,0,0,1720,0,0,1
0.009419622,0.029633228,12.35472128,1023374,0.33025242,0.120735222,1
0.018287382,0.013986014,0.402769906,3774,0.0358748,0.050734629,1
0.010658885,0.030470914,1.531310107,7700,0.198206242,0.132732968,1
0.679002866,0.138724911,38.04960462,810890,0.271810763,0.061779232,1
0.443581099,0.111111111,1.750515625,375,0.46291005,0.15430335,1
0.044022661,0.007281553,1.620706688,64314,0.103321737,0.035897908,1
0.006917183,0.021981243,7.411969403,1358880,0.220484309,0.063491064,1
0,0,0,40964,0,0,1
0.026273106,0.013030888,3.637084187,401718,0.062597075,0.033634579,1
0,0,0,223,0,0,1
0,0,0,154,0,0,1
0.103999722,0.036474164,2.333909874,26314,0.05484085,0.049413269,1
0.016546275,0.045045045,0.815300774,2464,0.130558242,0.082060994,1
0.004682199,0.037383178,0.578393941,728,0.455842306,0.038575837,1
0,0,0,1443,0,0,1
0,0,0,34,0,0,1
0.011800558,0.001811457,5.315670395,12332529,0.093430871,0.009170433,1
0.042054913,0.045081967,1.872332745,9614,0.269190951,0.032520445,1
0.003424658,0.008130081,0.176157014,480,0.166666667,0.046225016,1
0.003309469,0.020408163,0.309489453,979,0.095346259,0.03309517,1
0.001957456,0.00079058,4.515144336,2972350,0.240445852,0.027268723,1
0.259255707,0.011315417,1.847541941,76504,0.053631318,0.0184758,1
0,0,0,56,0,0,1
0.004750985,0.008950771,1.877615021,176358,0.13309256,0.038347919,1
0,0,0,5478,0,0,1
0.008162803,0.04109589,0.506323794,1003,0.325395687,0.096373885,1
0,0,0,1461,0,0,1
0.01374399,0.034857691,11.33403425,2501643,0.230923667,0.067086794,1
0.000780334,0.019138756,0.415070082,11186,0.080911339,0.028729518,1
0.006454907,0.012944984,1.989990344,147864,0.19277152,0.05204699,1
0.005460738,0.015698587,1.217906033,64452,0,0.03942726,1
0.008897666,0.03125,0.640644002,2756,0,0.078057139,1
